         289138062 function calls (289131433 primitive calls) in 1618.524 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1 1111.520 1111.520 1262.704 1262.704 linalg.py:110(point_descent)
        2  180.066   90.033 1618.531  809.265 main.py:1(<module>)
   267691  150.711    0.001  150.711    0.001 main.py:61(is_bound_node_index)
 96059601   75.493    0.000   75.500    0.000 main.py:86(get_type_of_pair)
 96059601   52.789    0.000   52.789    0.000 main.py:52(f_boundary_cond)
 96059601   47.016    0.000   47.016    0.000 main.py:70(get_type_of_node)
   264654    0.207    0.000    0.207    0.000 linalg.py:39(<genexpr>)
        5    0.131    0.026    0.131    0.026 {built-in method numpy.zeros}
      290    0.055    0.000    0.055    0.000 {built-in method marshal.loads}
       27    0.049    0.002    0.255    0.009 {built-in method builtins.sum}
    11096    0.031    0.000    0.031    0.000 {built-in method builtins.max}
      550    0.029    0.000    0.029    0.000 {built-in method numpy.array}
       28    0.027    0.001    0.027    0.001 {built-in method math.sqrt}
1222/1151    0.024    0.000    0.079    0.000 {built-in method builtins.__build_class__}
    41/39    0.022    0.001    0.025    0.001 {built-in method _imp.create_dynamic}
  438/192    0.010    0.000    0.025    0.000 sre_parse.py:475(_parse)
        1    0.009    0.009    0.009    0.009 legend_handler.py:424(HandlerCircleCollection)
     1476    0.009    0.000    0.009    0.000 {built-in method posix.stat}
      681    0.008    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
    78080    0.007    0.000    0.007    0.000 {built-in method builtins.abs}
      615    0.006    0.000    0.016    0.000 inspect.py:2115(_signature_from_function)
    27291    0.006    0.000    0.006    0.000 {built-in method builtins.isinstance}
      883    0.005    0.000    0.005    0.000 {method 'search' of 're.Pattern' objects}
     3570    0.005    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
      290    0.005    0.000    0.005    0.000 {method 'read' of '_io.FileIO' objects}
      290    0.005    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:914(get_data)
      576    0.004    0.000    0.023    0.000 inspect.py:1087(getfullargspec)
      396    0.004    0.000    0.004    0.000 {method 'sub' of 're.Pattern' objects}
  769/185    0.004    0.000    0.011    0.000 sre_compile.py:71(_compile)
     9062    0.004    0.000    0.004    0.000 {built-in method builtins.getattr}
     6249    0.004    0.000    0.004    0.000 {built-in method builtins.hasattr}
     3570    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
14161/13354    0.004    0.000    0.004    0.000 {built-in method builtins.len}
    29923    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
     1824    0.003    0.000    0.006    0.000 inspect.py:2465(__init__)
    20529    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
     4981    0.003    0.000    0.003    0.000 sre_parse.py:233(__next)
      290    0.003    0.000    0.079    0.000 <frozen importlib._bootstrap_external>:793(get_code)
       12    0.003    0.000    0.026    0.002 artist.py:1179(_get_setters_and_targets)
       27    0.003    0.000    0.019    0.001 __init__.py:978(_rc_params_in_file)
     2154    0.003    0.000    0.051    0.000 re.py:271(_compile)
      346    0.003    0.000    0.043    0.000 <frozen importlib._bootstrap>:882(_find_spec)
    321/1    0.003    0.000 1618.525 1618.525 {built-in method builtins.exec}
       19    0.003    0.000    0.007    0.000 enum.py:134(__new__)
      580    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
      654    0.003    0.000    0.004    0.000 inspect.py:2748(__init__)
      373    0.003    0.000    0.006    0.000 colors.py:184(_to_rgba_no_colorcycle)
     4801    0.003    0.000    0.004    0.000 sre_parse.py:164(__getitem__)
        2    0.002    0.001    0.006    0.003 decoder.py:343(raw_decode)
      222    0.002    0.000    0.004    0.000 sre_compile.py:276(_optimize_charset)
  936/355    0.002    0.000    0.003    0.000 sre_parse.py:174(getwidth)
      615    0.002    0.000    0.019    0.000 inspect.py:2196(_signature_from_callable)
     1795    0.002    0.000    0.018    0.000 __init__.py:829(__setitem__)
    352/4    0.002    0.000    0.449    0.112 <frozen importlib._bootstrap>:978(_find_and_load)
      622    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
4814/4810    0.002    0.000    0.003    0.000 {method 'join' of 'str' objects}
      622    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:78(acquire)
    10772    0.002    0.000    0.004    0.000 mathtext.py:2739(<genexpr>)
     1206    0.002    0.000    0.007    0.000 {built-in method builtins.any}
  342/341    0.002    0.000    0.037    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
     2231    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x55c353082320}
      336    0.002    0.000    0.010    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
    336/4    0.002    0.000    0.448    0.112 <frozen importlib._bootstrap>:663(_load_unlocked)
       29    0.002    0.000    0.005    0.000 __init__.py:316(namedtuple)
      622    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:103(release)
     2222    0.002    0.000    0.009    0.000 enum.py:283(__call__)
 1352/447    0.002    0.000    0.250    0.001 <frozen importlib._bootstrap>:1009(_handle_fromlist)
       60    0.002    0.000    0.004    0.000 function_base.py:37(linspace)
     3821    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
       26    0.002    0.000    0.002    0.000 {built-in method builtins.dir}
    352/4    0.002    0.000    0.449    0.112 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
     4026    0.002    0.000    0.004    0.000 sre_parse.py:254(get)
     1045    0.002    0.000    0.009    0.000 colors.py:150(to_rgba)
     1916    0.002    0.000    0.002    0.000 {method 'match' of 're.Pattern' objects}
       64    0.002    0.000    0.011    0.000 colors.py:713(from_list)
     7726    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      410    0.001    0.000    0.024    0.000 artist.py:1142(get_valid_values)
  390/185    0.001    0.000    0.026    0.000 sre_parse.py:417(_parse_sub)
